Año,Mes,Día,Hora,Minuto,Segundo,Dato
2024,09,18,21,24,38,Movimiento Detectado
2024,09,18,21,24,41,Movimiento Detectado
2024,09,18,21,24,45,Movimiento Detectado
2024,09,18,21,24,50,Movimiento Detectado
2024,09,18,21,24,55,Movimiento Detectado
2024,09,18,21,25,03,Movimiento Detectado
2024,09,18,21,25,08,Movimiento Detectado
2024,09,18,21,25,12,Movimiento Detectado
2024,09,18,21,25,18,Movimiento Detectado
2024,09,18,21,25,22,Movimiento Detectado
2024,09,18,21,25,28,Movimiento Detectado
2024,09,18,21,25,29,Movimiento Detectado
2024,09,18,21,25,33,Movimiento Detectado
2024,09,18,21,25,39,Movimiento Detectado
2024,09,18,21,25,44,Movimiento Detectado
2024,09,18,21,25,48,Movimiento Detectado
2024,09,18,21,25,52,Movimiento Detectado
2024,09,18,21,25,53,Movimiento Detectado
2024,09,18,21,25,58,Movimiento Detectado
2024,09,18,21,26,02,Movimiento Detectado
2024,09,18,21,26,06,Movimiento Detectado
2024,09,18,21,26,11,Movimiento Detectado
2024,09,18,21,26,16,Movimiento Detectado
2024,09,18,21,26,20,Movimiento Detectado
2024,09,18,21,26,24,Movimiento Detectado
2024,09,18,21,26,25,Movimiento Detectado
2024,09,18,21,26,29,Movimiento Detectado
2024,09,18,21,26,33,Movimiento Detectado
2024,09,18,21,26,34,Movimiento Detectado
2024,09,18,21,26,39,Movimiento Detectado
2024,09,18,21,26,45,Movimiento Detectado
2024,09,18,21,26,51,Movimiento Detectado
2024,09,18,21,26,52,Movimiento Detectado
2024,09,18,21,26,56,Movimiento Detectado
2024,09,18,21,26,57,Movimiento Detectado
2024,09,18,21,27,01,Movimiento Detectado
2024,09,18,21,27,05,Movimiento Detectado
2024,09,18,21,27,10,Movimiento Detectado
2024,09,18,21,27,14,Movimiento Detectado
2024,09,18,21,27,15,Movimiento Detectado
2024,09,18,21,27,20,Movimiento Detectado
2024,09,18,21,27,24,Movimiento Detectado
2024,09,18,21,27,28,Movimiento Detectado
2024,09,18,21,27,32,Movimiento Detectado
2024,09,18,21,27,37,Movimiento Detectado
2024,09,18,21,27,38,Movimiento Detectado
2024,09,18,21,27,42,Movimiento Detectado
2024,09,18,21,27,46,Movimiento Detectado
2024,09,18,21,27,47,Movimiento Detectado
2024,09,18,21,27,51,Movimiento Detectado
2024,09,18,21,27,54,Movimiento Detectado
2024,09,18,21,27,55,Movimiento Detectado
2024,09,18,21,27,58,Movimiento Detectado
